,id_mmpp,Consumo_diario,Plazo de entrega,Stock de seguridad,punto_pedido
244,2250_mmpp_102,3633.0803588722074,8.0,350000.0,379064.64287097764
247,2250_mmpp_107,1029.5828158168574,3.0,0.0,3088.7484474505723
248,2250_mmpp_110,4.948101600515336,15.0,300.0,374.22152400773007
249,2250_mmpp_118,1502.4403701303206,20.0,30000.0,60048.80740260641
250,2250_mmpp_123,392.9691896734552,15.0,15000.0,20894.53784510183
251,2250_mmpp_124,232.2190849487141,15.0,8000.0,11483.286274230712
252,2250_mmpp_136,2.9876220207125512,20.0,100.0,159.75244041425103
253,2250_mmpp_14,5414.102685694465,3.0,0.0,16242.308057083395
254,2250_mmpp_152,55905.67533818939,10.0,0.0,559056.7533818939
255,2250_mmpp_153,701.7629221792776,40.0,5000.0,33070.51688717111
256,2250_mmpp_154,135.05116965958078,20.0,4000.0,6701.0233931916155
257,2250_mmpp_155,250.2303638347951,20.0,6500.0,11504.607276695902
258,2250_mmpp_156,21.09935535900104,20.0,1000.0,1421.9871071800208
259,2250_mmpp_157,10.179576819780983,45.0,500.0,958.0809568901443
260,2250_mmpp_158,52.45919279520341,3.0,5000.0,5157.37757838561
261,2250_mmpp_159,316.2349860611466,5.0,1600.0,3181.174930305733
262,2250_mmpp_160,26.483642569743814,25.0,800.0,1462.0910642435954
263,2250_mmpp_161,376.1086096526436,20.0,13000.0,20522.172193052873
264,2250_mmpp_162,261.21967692383924,3.0,0.0,783.6590307715178
265,2250_mmpp_163,191.8932882414152,10.0,0.0,1918.9328824141521
266,2250_mmpp_164,42.64212278380655,35.0,2400.0,3892.4742974332294
267,2250_mmpp_165,14.40370984837223,120.0,1500.0,3228.4451818046678
268,2250_mmpp_166,4513.65398743868,28.0,0.0,126382.31164828304
269,2250_mmpp_167,234.7417560477677,5.0,12000.0,13173.708780238838
270,2250_mmpp_168,175.9777396759328,30.0,7000.0,12279.332190277984
271,2250_mmpp_169,9.447851890391954,28.0,300.0,564.5398529309747
272,2250_mmpp_17,211.05680342896784,3.0,0.0,633.1704102869035
273,2250_mmpp_170,16.924422922550914,28.0,1000.0,1473.8838418314256
274,2250_mmpp_171,4.533954026064119,28.0,0.0,126.95071272979534
275,2250_mmpp_172,90.42821160745255,5.0,1650.0,2102.1410580372626
276,2250_mmpp_173,158.96106764530995,5.0,1600.0,2394.80533822655
277,2250_mmpp_174,79.45051873048907,21.0,0.0,1668.4608933402703
278,2250_mmpp_175,296.80082998860314,2.0,748.0,1341.6016599772063
279,2250_mmpp_176,4.971524924433874,28.0,300.0,439.2026978841485
280,2250_mmpp_177,10.745907041276448,8.0,200.0,285.96725633021157
281,2250_mmpp_180,0.3870967741935484,15.0,0.0,5.806451612903226
282,2250_mmpp_19,3.900070628313761,21.0,360.0,441.901483194589
283,2250_mmpp_2,37.48673257023934,0.0,0.0,0.0
284,2250_mmpp_203,36.17439757197364,28.0,0.0,1012.8831320152619
285,2250_mmpp_204,1.8974057281601504,15.0,0.0,28.461085922402255
286,2250_mmpp_205,4.6200525246519,15.0,0.0,69.3007878697785
287,2250_mmpp_206,2.687762623259501,15.0,0.0,40.316439348892516
288,2250_mmpp_207,1.0394991576235073,28.0,0.0,29.105976413458205
289,2250_mmpp_214,0.5161344086021505,15.0,0.0,7.742016129032258
290,2250_mmpp_223,0.0268817204301075,15.0,0.0,0.4032258064516125
291,2250_mmpp_226,0.9153766909469302,56.0,700.0,751.2610946930281
292,2250_mmpp_227,33.15814319161588,45.0,2000.0,3492.1164436227145
293,2250_mmpp_235,0.0072840790842872,15.0,0.0,0.109261186264308
294,2250_mmpp_237,0.8324661810613944,15.0,0.0,12.486992715920916
295,2250_mmpp_238,0.8324661810613944,15.0,0.0,12.486992715920916
296,2250_mmpp_25,21.86954016153808,8.0,0.0,174.95632129230464
297,2250_mmpp_252,45.73598339527278,15.0,2500.0,3186.0397509290915
298,2250_mmpp_253,6.082032604925424,28.0,2000.0,2170.2969129379117
299,2250_mmpp_293,0.0014516129032258,90.0,0.0,0.130645161290322
300,2250_mmpp_296,14.374492158465886,30.0,0.0,431.23476475397655
301,2250_mmpp_299,13073.596513936374,20.0,95000.0,356471.9302787275
302,2250_mmpp_3,3.72299375,15.0,0.0,55.84490625
303,2250_mmpp_30,59.15480685793568,28.0,4000.0,5656.334592022199
304,2250_mmpp_302,16.185347777612606,15.0,0.0,242.78021666418908
305,2250_mmpp_303,1.316777349982657,15.0,0.0,19.751660249739853
306,2250_mmpp_309,234.95938265695452,15.0,1000.0,4524.390739854318
307,2250_mmpp_31,7.537669094693028,40.0,1400.0,1701.5067637877212
308,2250_mmpp_310,3.567956295525494,180.0,0.0,642.2321331945889
309,2250_mmpp_315,2.544214855557207,15.0,0.0,38.163222833358105
310,2250_mmpp_316,2.3116427580397403,15.0,0.0,34.674641370596106
311,2250_mmpp_32,0.043010752688172,15.0,0.0,0.64516129032258
312,2250_mmpp_322,661.0156781130767,3.0,0.0,1983.0470343392299
313,2250_mmpp_325,0.0095114216342103,15.0,0.0,0.1426713245131545
314,2250_mmpp_326,27.00156582924533,15.0,0.0,405.0234874386799
315,2250_mmpp_330,24.223774837718647,15.0,0.0,363.35662256577973
316,2250_mmpp_336,0.5202913631633714,15.0,0.0,7.804370447450571
317,2250_mmpp_337,0.7804370447450573,15.0,0.0,11.70655567117586
318,2250_mmpp_349,0.7460854268866756,15.0,0.0,11.191281403300133
319,2250_mmpp_355,272.60198612556366,21.0,7500.0,13224.641708636836
320,2250_mmpp_356,711.9983076235072,21.0,5000.0,19951.96446009365
321,2250_mmpp_357,948.7245475323324,21.0,5000.0,24923.21549817898
322,2250_mmpp_358,27.052370100589663,21.0,1000.0,1568.0997721123829
323,2250_mmpp_362,26.015636316337147,21.0,1000.0,1546.3283626430803
324,2250_mmpp_380,1.3715227193895247,120.0,0.0,164.58272632674297
325,2250_mmpp_381,295.6228470715029,35.0,4000.0,14346.799647502603
326,2250_mmpp_398,16.7917228234478,15.0,0.0,251.87584235171698
327,2250_mmpp_408,63.40998959417273,20.0,0.0,1268.1997918834545
328,2250_mmpp_442,0.8455081512313563,12.0,0.0,10.146097814776276
329,2250_mmpp_45,10.671049502006838,35.0,200.0,573.4867325702394
330,2250_mmpp_459,8.324661810613943,15.0,0.0,124.86992715920914
331,2250_mmpp_460,7.284079084287201,15.0,0.0,109.26118626430802
332,2250_mmpp_461,8.324661810613943,15.0,0.0,124.86992715920914
333,2250_mmpp_475,3.7460978147762742,28.0,0.0,104.89073881373568
334,2250_mmpp_489,1.0752688172043012,15.0,0.0,16.12903225806452
335,2250_mmpp_490,0.5202913631633714,15.0,0.0,7.804370447450571
336,2250_mmpp_492,3.838557058619494,5.0,1600.0,1619.1927852930974
337,2250_mmpp_505,10096.074506020515,3.0,0.0,30288.223518061546
338,2250_mmpp_51,2.9792973589019374,15.0,100.0,144.68946038352905
339,2250_mmpp_512,46.05269346910461,15.0,3000.0,3690.790402036569
340,2250_mmpp_516,23.746097814776277,3.0,0.0,71.23829344432883
348,2250_mmpp_57,3928.638873021654,5.0,22000.0,41643.19436510827
387,2250_mmpp_70,8.568820623358604,14.0,400.0,519.9634887270205
388,2250_mmpp_72,200.92315351072796,20.0,5000.0,9018.463070214559
394,2250_mmpp_74,18.154189943511224,20.0,1000.0,1363.0837988702244
403,2250_mmpp_83,59.81593695307468,20.0,2200.0,3396.318739061494
406,2250_mmpp_85,153.66287937911898,25.0,6000.0,9841.571984477974
412,2250_mmpp_88,175.1773117040781,10.0,0.0,1751.773117040781
414,2250_mmpp_99,76.27277389623903,15.0,0.0,1144.0916084435855
415,2_mmpp_10,960.2015835612704,20.0,12000.0,31204.031671225406
416,2_mmpp_100,7311.698932005352,8.0,60000.0,118493.5914560428
417,2_mmpp_101,219.86589552549427,12.0,2800.0,5438.390746305931
418,2_mmpp_102,13614.985274208411,7.0,235000.0,330304.8969194589
419,2_mmpp_104,83.39517030127348,45.0,3000.0,6752.7826635573065
420,2_mmpp_106,905.43661899559,10.0,6000.0,15054.366189955901
421,2_mmpp_11,49.92532467915365,7.0,600.0,949.4772727540756
422,2_mmpp_110,14.59628358852386,15.0,600.0,818.9442538278579
423,2_mmpp_112,0.9019596873296664,12.0,200.0,210.823516247956
424,2_mmpp_118,5335.690706877756,16.0,40000.0,125371.0513100441
425,2_mmpp_123,407.21273012982505,21.0,11000.0,19551.467332726326
426,2_mmpp_124,708.1833745007681,21.0,10000.0,24871.850864516127
427,2_mmpp_133,0.8073187651751648,20.0,200.0,216.1463753035033
428,2_mmpp_135,224.66813193102425,10.0,200.0,2446.6813193102425
429,2_mmpp_136,0.8988107625984837,20.0,0.0,17.976215251969673
430,2_mmpp_138,4.806595386749913,20.0,250.0,346.13190773499826
431,2_mmpp_139,36355.57866053961,5.0,50000.0,231777.89330269807
432,2_mmpp_141,0.0005344086021505,10.0,0.0,0.0053440860215050005
433,2_mmpp_142,33.962681695654325,3.0,600.0,701.888045086963
434,2_mmpp_143,1068.5926971904266,45.0,50000.0,98086.6713735692
435,2_mmpp_144,1506.5292335191518,15.0,10000.0,32597.938502787278
436,2_mmpp_145,0.7529419602596502,7.0,3000.0,3005.2705937218175
437,2_mmpp_146,1.7880789703186166,42.0,500.0,575.0993167533819
438,2_mmpp_147,97.2275903077152,30.0,7500.0,10416.827709231457
439,2_mmpp_149,96.88860508894504,4.0,1000.0,1387.5544203557802
440,2_mmpp_15,1910.850510953372,1.0,0.0,1910.850510953372
441,2_mmpp_152,855.002531210049,4.0,0.0,3420.010124840196
442,2_mmpp_155,297.51609757445124,20.0,3000.0,8950.321951489024
443,2_mmpp_174,143.19504414796097,20.0,2000.0,4863.900882959219
444,2_mmpp_175,317.5589900203161,7.0,0.0,2222.9129301422126
445,2_mmpp_178,268.83721473911106,7.0,3000.0,4881.860503173777
446,2_mmpp_179,76.13492019721521,60.0,1500.0,6068.095211832912
447,2_mmpp_181,51.10301768990635,30.0,0.0,1533.0905306971906
448,2_mmpp_182,711.1133934145979,21.0,8000.0,22933.381261706556
449,2_mmpp_190,0.0083246618106139,7.0,0.0,0.058272632674297296
450,2_mmpp_191,396.3597911277935,15.0,6000.0,11945.396866916903
451,2_mmpp_192,1.1751647589316687,84.0,1000.0,1098.7138397502601
452,2_mmpp_194,51.56087408949012,15.0,100.0,873.4131113423518
453,2_mmpp_198,262.0881897527377,49.0,7000.0,19842.321297884147
454,2_mmpp_209,6.635848074921957,25.0,0.0,165.8962018730489
455,2_mmpp_210,14.153607826668647,28.0,0.0,396.3010191467221
456,2_mmpp_214,15.65990537386651,15.0,600.0,834.8985806079977
457,2_mmpp_218,401.2324047941133,21.0,6000.0,14425.88050067638
458,2_mmpp_220,144.223906550716,30.0,3000.0,7326.71719652148
459,2_mmpp_223,157.4940728333581,30.0,4000.0,8724.822185000743
460,2_mmpp_236,71.1319805757891,15.0,5000.0,6066.979708636836
461,2_mmpp_243,9.60895720479659,15.0,150.0,294.1343580719489
462,2_mmpp_247,31.934214360041626,15.0,2500.0,2979.013215400624
463,2_mmpp_257,56.71272409692285,35.0,1500.0,3484.9453433923
464,2_mmpp_259,62.97963919032754,40.0,3000.0,5519.185567613102
465,2_mmpp_260,3.923580724443784,15.0,400.0,458.85371086665674
466,2_mmpp_261,22.676459293394775,60.0,3500.0,4860.587557603687
467,2_mmpp_266,48.0643452083643,20.0,2000.0,2961.286904167286
468,2_mmpp_267,50.08367110896388,21.0,1000.0,2051.7570932882413
469,2_mmpp_27,82.19097225608246,3.0,1500.0,1746.5729167682473
470,2_mmpp_282,5.324720120410287,28.0,350.0,499.092163371488
471,2_mmpp_285,29.325943845696447,11.0,500.0,822.585382302661
472,2_mmpp_288,6.0996095039889,12.0,1000.0,1073.1953140478668
473,2_mmpp_289,89.37191670630791,4.0,2000.0,2357.487666825232
474,2_mmpp_297,16.28210122640107,7.0,1350.0,1463.9747085848076
475,2_mmpp_3,170.28705344086023,19.0,3500.0,6735.454015376345
476,2_mmpp_30,0.3687148704226748,15.0,500.0,505.5307230563401
477,2_mmpp_301,25.44466840097121,15.0,1600.0,1981.670026014568
478,2_mmpp_302,160.44220082255586,15.0,2000.0,4406.633012338338
479,2_mmpp_303,35.62812071007383,15.0,1000.0,1534.4218106511075
480,2_mmpp_305,0.3225806451612903,0.0,0.0,0.0
481,2_mmpp_31,372.8586395470988,40.0,7000.0,21914.34558188395
482,2_mmpp_312,5.240531465239582,8.0,50.0,91.92425172191665
483,2_mmpp_319,74.34025542341807,15.0,2000.0,3115.103831351271
484,2_mmpp_32,181.14926304444776,15.0,5000.0,7717.238945666717
485,2_mmpp_341,76.51506449383083,15.0,300.0,1447.7259674074626
486,2_mmpp_342,1.038548634854566,15.0,0.0,15.578229522818491
487,2_mmpp_347,0.9334131113423516,42.0,400.0,439.20335067637876
488,2_mmpp_350,1207.2285464223771,21.0,18000.0,43351.79947486992
489,2_mmpp_351,11.581311939447996,15.0,400.0,573.71967909172
490,2_mmpp_365,569.6704134185619,12.0,8000.0,14836.044961022742
491,2_mmpp_366,1771.601241241762,30.0,32000.0,85148.03723725287
492,2_mmpp_367,243.3843225087954,21.0,6000.0,11111.070772684703
493,2_mmpp_368,105.21134347405976,15.0,4000.0,5578.170152110896
494,2_mmpp_37,13.331115157821714,27.0,2500.0,2859.940109261186
495,2_mmpp_376,0.3891779396462018,20.0,0.0,7.783558792924036
496,2_mmpp_377,3.3455619146722166,20.0,800.0,866.9112382934443
497,2_mmpp_378,149.36816162975074,35.0,3000.0,8227.885657041275
498,2_mmpp_379,64.32493870967741,30.0,1500.0,3429.748161290322
499,2_mmpp_383,0.520950398890045,0.0,0.0,0.0
500,2_mmpp_39,49.95654830038155,15.0,1200.0,1949.3482245057232
501,2_mmpp_396,2.1505376344086025,15.0,0.0,32.25806451612904
502,2_mmpp_398,0.1040582726326743,15.0,0.0,1.5608740894901145
503,2_mmpp_4,1.646016475893167,30.0,4000.0,4049.380494276795
504,2_mmpp_406,3.756711758584808,20.0,0.0,75.13423517169616
505,2_mmpp_407,0.0157821713492889,15.0,0.0,0.23673257023933353
506,2_mmpp_408,27.95228184926416,15.0,0.0,419.2842277389624
507,2_mmpp_41,1.4839067291016304,5.0,220.0,227.41953364550815
508,2_mmpp_411,5.551385015608741,30.0,0.0,166.54155046826222
509,2_mmpp_413,7.005378883603389,49.0,5500.0,5843.263565296566
510,2_mmpp_414,60.06077003121748,60.0,1.0,3604.646201873049
511,2_mmpp_416,33.03225806451613,15.0,0.0,495.48387096774195
512,2_mmpp_417,3.805036420395422,20.0,800.0,876.1007284079085
513,2_mmpp_418,25.0156087408949,15.0,0.0,375.23413111342353
514,2_mmpp_419,24.37044745057232,4.0,1.0,98.48178980228928
515,2_mmpp_42,0.1892473118279569,10.0,400.0,401.89247311827955
516,2_mmpp_422,0.265383281304197,0.0,0.0,0.0
517,2_mmpp_43,0.5541028690352311,30.0,30.0,46.62308607105693
518,2_mmpp_438,2.409599375650364,15.0,900.0,936.1439906347555
519,2_mmpp_439,2.196793394777265,105.0,600.0,830.6633064516128
520,2_mmpp_44,47.58291175858481,35.0,700.0,2365.401911550468
521,2_mmpp_440,36.92763314008225,15.0,1200.0,1753.9144971012338
522,2_mmpp_441,9.426485630048068,15.0,1000.0,1141.3972844507211
523,2_mmpp_45,87.50239328080868,28.0,1500.0,3950.067011862643
524,2_mmpp_452,3.34216840097121,21.0,0.0,70.18553642039541
525,2_mmpp_454,0.4301075268817204,15.0,0.0,6.451612903225806
526,2_mmpp_458,123.44677419354838,15.0,10000.0,11851.701612903225
527,2_mmpp_46,105.97765224716316,30.0,5000.0,8179.329567414895
528,2_mmpp_47,0.1612903225806451,20.0,400.0,403.2258064516129
529,2_mmpp_472,0.7559833506763788,120.0,300.0,390.7180020811654
530,2_mmpp_474,34.941832882414154,15.0,4000.0,4524.127493236212
531,2_mmpp_478,76.63933031068827,15.0,0.0,1149.5899546603239
532,2_mmpp_48,0.0806451612903225,20.0,400.0,401.61290322580646
533,2_mmpp_483,0.2673517169614984,15.0,0.0,4.010275754422476
534,2_mmpp_484,0.2501196670135275,25.0,4000.0,4006.2529916753383
535,2_mmpp_488,5.327783558792924,15.0,0.0,79.91675338189386
536,2_mmpp_491,3.595837669094693,15.0,0.0,53.937565036420395
537,2_mmpp_493,0.9181755116198403,15.0,0.0,13.772632674297606
538,2_mmpp_495,3.351259105098856,350.0,2700.0,3872.9406867845996
539,2_mmpp_496,26.722992785293098,30.0,4000.0,4801.689783558793
540,2_mmpp_497,94.66059557009068,30.0,3250.0,6089.81786710272
541,2_mmpp_499,1.987240473712898,15.0,800.0,829.8086071056935
542,2_mmpp_50,7.895027005599326,30.0,400.0,636.8508101679797
543,2_mmpp_500,15.773198994103364,28.0,6000.0,6441.649571834894
544,2_mmpp_501,156.9828322481542,30.0,3000.0,7709.484967444626
545,2_mmpp_502,55.81382251127298,25.0,6000.0,7395.345562781825
546,2_mmpp_504,3323.459471824984,7.0,15000.0,38264.21630277489
547,2_mmpp_508,172.5120569892473,12.0,4000.0,6070.144683870967
548,2_mmpp_509,3.6924325355532432,15.0,500.0,555.3864880332986
549,2_mmpp_510,2.009843357613597,20.0,1800.0,1840.196867152272
550,2_mmpp_511,8.226173133145037,20.0,0.0,164.52346266290076
551,2_mmpp_512,41.4588933353154,20.0,800.0,1629.1778667063081
552,2_mmpp_514,456.2532374238145,30.0,4000.0,17687.597122714433
553,2_mmpp_515,1.6150042118824637,20.0,75.0,107.30008423764927
554,2_mmpp_52,945.456849026312,21.0,15000.0,34854.593829552556
555,2_mmpp_53,355.0293678113077,35.0,6000.0,18426.027873395768
556,2_mmpp_55,8.208458451018284,20.0,0.0,164.1691690203657
557,2_mmpp_56,1166.7400387022446,35.0,15000.0,55835.901354578564
558,2_mmpp_58,355.09278529309745,60.0,8000.0,29305.567117585848
559,2_mmpp_59,0.8774193548387097,25.0,0.0,21.935483870967744
560,2_mmpp_6,317.7082927010555,30.0,10000.0,19531.248781031667
561,2_mmpp_60,1.9566423864030529,25.0,0.0,48.91605966007632
562,2_mmpp_7,130437.46954115752,4.0,175000.0,696749.8781646302
563,2_mmpp_70,11.720253473564243,20.0,200.0,434.40506947128483
564,2_mmpp_71,484.4472283558793,20.0,6000.0,15688.944567117585
565,2_mmpp_72,74.04442847480304,20.0,350.0,1830.8885694960609
566,2_mmpp_73,677.6018675313414,25.0,4000.0,20940.046688283535
567,2_mmpp_74,118.18185790099598,20.0,1200.0,3563.6371580199198
568,2_mmpp_75,798.2688967345523,45.0,20000.0,55922.100353054855
569,2_mmpp_76,82.60848607601208,21.0,6000.0,7734.778207596254
570,2_mmpp_77,340.16512377979285,90.0,20000.0,50614.861140181354
571,2_mmpp_79,3.984752985481393,20.0,150.0,229.69505970962786
572,2_mmpp_82,10.420215380803723,20.0,300.0,508.40430761607445
573,2_mmpp_83,67.04302326445666,27.0,1500.0,3310.16162814033
